20170516,0.25
20170517,0.251
20170518,0.251
20170519,0.251
20170522,0.251
20170523,0.251
20170524,0.25
20170525,0.251
20170526,0.254
20170529,0.254
20170530,0.254
20170531,0.254
20170601,0.254
20170602,0.255
20170605,0.256
20170606,0.257
20170607,0.259
20170608,0.26
20170609,0.264
20170612,0.266
20170613,0.27
20170614,0.271
20170615,0.271
20170616,0.271
20170619,0.271
20170620,0.271
20170621,0.271
20170622,0.272
20170623,0.273
20170626,0.273
20170627,0.273
20170628,0.271
20170629,0.27
20170630,0.271
20170703,0.271
20170704,0.272
20170705,0.274
20170706,0.273
20170707,0.272
20170710,0.273
20170711,0.273
20170712,0.273
20170713,0.273
20170714,0.273
20170717,0.274
20170718,0.274
20170719,0.274
20170720,0.274
20170721,0.272
20170724,0.271
20170725,0.272
20170726,0.272
20170727,0.272
20170728,0.272
20170731,0.271
20170801,0.272
20170802,0.273
20170803,0.272
20170804,0.271
20170807,0.27
20170808,0.269
20170809,0.271
20170810,0.271
20170811,0.271
20170814,0.271
20170815,0.271
20170816,0.271
20170817,0.271
20170818,0.271
20170821,0.271
20170822,0.273
20170823,0.273
20170824,0.272
20170825,0.272
20170828,0.273
20170829,0.273
20170830,0.273
20170831,0.273
20170901,0.273
20170904,0.274
20170905,0.274
20170906,0.274
20170907,0.273
20170908,0.275
20170911,0.274
20170912,0.272
20170913,0.272
20170914,0.272
20170915,0.271
20170918,0.271
20170919,0.272
20170920,0.271
20170921,0.272
20170922,0.271
20170925,0.272
20170926,0.273
20170927,0.273
20170928,0.273
20170929,0.273
20171002,0.272
20171003,0.273
20171004,0.273
20171005,0.272
20171006,0.273
20171009,0.274
20171010,0.274
20171011,0.274
20171012,0.274
20171013,0.274
20171016,0.274
20171017,0.274
20171018,0.274
20171019,0.274
20171020,0.274
20171023,0.274
20171024,0.274
20171025,0.274
20171026,0.274
20171027,0.275
20171030,0.276
20171031,0.276
20171101,0.276
20171102,0.276
20171103,0.276
20171106,0.276
20171107,0.275
20171108,0.276
20171109,0.276
20171110,0.275
20171113,0.275
20171114,0.275
20171115,0.275
20171116,0.275
20171117,0.274
20171120,0.274
20171121,0.273
20171122,0.272
20171123,0.271
20171124,0.272
20171127,0.272
20171128,0.274
20171129,0.274
20171130,0.272
20171201,0.271
20171204,0.272
20171205,0.271
20171206,0.271
20171207,0.271
20171208,0.271
20171211,0.271
20171212,0.271
20171213,0.273
20171214,0.271
20171215,0.272
20171218,0.271
20171219,0.274
20171220,0.271
20171221,0.271
20171222,0.271
20171227,0.271
20171228,0.271
20171229,0.271
20180102,0.271
20180103,0.271
20180104,0.271
20180105,0.271
20180108,0.271
20180109,0.271
20180110,0.271
20180111,0.271
20180112,0.271
20180115,0.274
20180116,0.272
20180117,0.274
20180118,0.275
20180119,0.276
20180122,0.277
20180123,0.276
20180124,0.278
20180125,0.278
20180126,0.278
20180129,0.278
20180130,0.278
20180131,0.279
20180201,0.278
20180202,0.278
20180205,0.278
20180206,0.279
20180207,0.278
20180208,0.278
20180209,0.278
20180212,0.278
20180213,0.276
20180214,0.276
20180215,0.276
20180216,0.274
20180219,0.274
20180220,0.273
20180221,0.271
20180222,0.27
20180223,0.271
20180226,0.271
20180227,0.271
20180228,0.27
20180301,0.271
20180302,0.271
20180305,0.272
20180306,0.271
20180307,0.272
20180308,0.272
20180309,0.271
20180312,0.271
20180313,0.271
20180314,0.271
20180315,0.271
20180316,0.272
20180319,0.272
20180320,0.273
20180321,0.272
20180322,0.271
20180323,0.27
20180326,0.271
20180327,0.271
20180328,0.271
20180329,0.271
20180403,0.27
20180404,0.271
20180405,0.271
20180406,0.27
20180409,0.27
20180410,0.271
20180411,0.27
20180412,0.271
20180413,0.271
20180416,0.27
20180417,0.27
20180418,0.271
20180419,0.27
20180420,0.271
20180423,0.27
20180424,0.27
20180425,0.27
20180426,0.269
20180427,0.269
20180430,0.269
20180502,0.269
20180503,0.269
20180504,0.269
20180507,0.269
20180508,0.269
20180509,0.269
20180510,0.271
20180511,0.271
20180514,0.271
20180515,0.271
20180516,0.272
20180517,0.27
20180518,0.271
20180521,0.27
20180522,0.271
20180523,0.27
20180524,0.271
20180525,0.271
20180528,0.269
20180529,0.269
20180530,0.269
20180531,0.269
20180601,0.269
20180604,0.269
20180605,0.269
20180606,0.269
20180607,0.269
20180608,0.267
20180611,0.267
20180612,0.267
20180613,0.268
20180614,0.268
20180615,0.268
20180618,0.268
20180619,0.268
20180620,0.268
20180621,0.268
20180622,0.268
20180625,0.269
20180626,0.27
20180627,0.27
20180628,0.27
20180629,0.27
20180702,0.269
20180703,0.27
20180704,0.269
20180705,0.269
20180706,0.27
20180709,0.27
20180710,0.269
20180711,0.271
20180712,0.271
20180713,0.268
20180716,0.269
20180717,0.269
20180718,0.269
20180719,0.269
20180720,0.269
20180723,0.269
20180724,0.269
20180725,0.269
20180726,0.269
20180727,0.269
20180730,0.268
20180731,0.268
20180801,0.269
20180802,0.269
20180803,0.268
20180806,0.268
20180807,0.268
20180808,0.268
20180809,0.266
20180810,0.267
20180813,0.266
20180814,0.266
20180815,0.266
20180816,0.266
20180817,0.266
20180820,0.266
20180821,0.266
20180822,0.266
20180823,0.266
20180824,0.266
20180827,0.265
20180828,0.266
20180829,0.266
20180830,0.268
20180831,0.268
20180903,0.268
20180904,0.269
20180905,0.269
20180906,0.269
20180907,0.269
20180910,0.269
20180911,0.269
20180912,0.269
20180913,0.269
20180914,0.269
20180917,0.268
20180918,0.268
20180919,0.267
20180920,0.268
20180921,0.268
20180924,0.267
20180925,0.267
20180926,0.267
20180927,0.268
20180928,0.268
20181001,0.268
20181002,0.268
20181003,0.267
20181004,0.268
20181005,0.267
20181008,0.267
20181009,0.268
20181010,0.268
20181011,0.267
20181012,0.267
20181015,0.266
20181016,0.265
20181017,0.266
20181018,0.265
20181019,0.262
20181022,0.261
20181023,0.259
20181024,0.259
20181025,0.259
20181026,0.259
20181029,0.259
20181030,0.259
20181031,0.259
20181101,0.258
20181102,0.258
20181105,0.257
20181106,0.258
20181107,0.258
20181108,0.257
20181109,0.257
20181112,0.257
20181113,0.257
20181114,0.257
20181115,0.257
20181116,0.257
20181119,0.257
20181120,0.257
20181121,0.257
20181122,0.257
20181123,0.257
20181126,0.256
20181127,0.256
20181128,0.256
20181129,0.253
20181130,0.251
20181203,0.248
20181204,0.247
20181205,0.246
20181206,0.246
20181207,0.246
20181210,0.245
20181211,0.244
20181212,0.241
20181213,0.239
20181214,0.238
20181217,0.237
20181218,0.238
20181219,0.238
20181220,0.238
20181221,0.238
20181224,0.237
20181227,0.237
20181228,0.236
20181231,0.237
20190102,0.238
20190103,0.237
20190104,0.237
20190107,0.236
20190108,0.236
20190109,0.236
20190110,0.236
20190111,0.236
20190114,0.236
20190115,0.236
20190116,0.236
20190117,0.236
20190118,0.235
20190121,0.236
20190122,0.237
20190123,0.237
20190124,0.236
20190125,0.237
20190128,0.237
20190129,0.237
20190130,0.236
20190131,0.236
20190201,0.235
20190204,0.235
20190205,0.234
20190206,0.234
20190207,0.233
20190208,0.233
20190211,0.232
20190212,0.231
20190213,0.231
20190214,0.231
20190215,0.232
20190218,0.232
20190219,0.232
20190220,0.231
20190221,0.231
20190222,0.231
20190225,0.23
20190226,0.23
20190227,0.229
20190228,0.229
20190301,0.23
20190304,0.23
20190305,0.231
20190306,0.232
20190307,0.231
20190308,0.232
20190311,0.232
20190312,0.231
20190313,0.232
20190314,0.232
20190315,0.232
20190318,0.231
20190319,0.232
20190320,0.231
20190321,0.229
20190322,0.228
20190325,0.228
20190326,0.228
20190327,0.227
20190328,0.228
20190329,0.228
20190401,0.228
20190402,0.23
20190403,0.23
20190404,0.23
20190405,0.231
20190408,0.231
20190409,0.231
20190410,0.231
20190411,0.232
20190412,0.232
20190415,0.231
20190416,0.232
20190417,0.232
20190418,0.232
20190423,0.23
20190424,0.231
20190425,0.23
20190426,0.229
20190429,0.231
20190430,0.231
20190502,0.232
20190503,0.23
20190506,0.23
20190507,0.229
20190508,0.23
20190509,0.231
20190510,0.231
20190513,0.231
20190514,0.232
20190515,0.235
20190516,0.237
20190517,0.24
20190520,0.241
20190521,0.244
20190522,0.242
20190523,0.242
20190524,0.241
20190527,0.24
20190528,0.242
20190529,0.245
20190530,0.247
20190531,0.25
20190603,0.254
20190604,0.254
20190605,0.254
20190606,0.259
20190607,0.256
20190610,0.258
20190611,0.258
20190612,0.259
20190613,0.259
20190614,0.261
20190617,0.268
20190618,0.276
20190619,0.299
20190620,0.303
20190621,0.308
20190624,0.308
20190625,0.311
20190626,0.311
20190627,0.313
20190628,0.311
20190701,0.313
20190702,0.327
20190703,0.335
20190704,0.338
20190705,0.344
20190708,0.338
20190709,0.336
20190710,0.329
20190711,0.342
20190712,0.342
