1y,-0.00553
2y,-0.00522
3y,-0.00504
4y,-0.00478
5y,-0.00443
6y,-0.00401
7y,-0.00357
8y,-0.00310
9y,-0.00261
10y,-0.00212
12y,-0.00121
15y,-0.00018
20y,0.00074
25y,0.00092
30y,0.00070
40y,0.00070
50y,0.00070
